Start,End,Open,High,Low,Close,Volume,Market Cap
2021-08-20,2021-08-21,46753.2071,49290.63142292472,46669.4994,49270.61314785449,64823787278.22222,897465475109.4467
2021-08-19,2021-08-20,44752.5042,46907.19985180653,43977.69169510481,46666.8683,57015323932.44444,849460246207.7261
2021-08-18,2021-08-19,44681.517,45892.6758,44342.7328,44856.0324,74813786339.55556,847896521850.9545
2021-08-17,2021-08-18,45942.6024,47029.59826076956,44569.5598,44569.5598,76216552899.13287,863499932236.137
2021-08-16,2021-08-17,47056.2741,47968.2045,45669.48158944567,45906.7425,66521713774.60627,881240961277.8623
2021-08-15,2021-08-16,47056.9824,47320.043,45608.9681,47057.4919,60388411064.888885,871847138944.4528
2021-08-14,2021-08-15,47794.48831430701,48083.78692929995,46151.3639764997,47053.5097,63747047793.77778,884526105404.9858
2021-08-13,2021-08-14,44399.9813,47799.9721162026,44259.2683,47799.9721162026,66684585358.22222,867420364756.2206
2021-08-12,2021-08-13,45554.7756,46204.28380663769,43889.5745,44434.3365,80625549752.88889,843658955881.7134
2021-08-11,2021-08-12,45587.99083134722,46698.7934,45384.81716819167,45670.172,65924957909.333336,865313524334.5142
2021-08-10,2021-08-11,46306.06842726559,46510.71610335903,44647.9385,45543.91666426932,72283654172.44444,856134898662.8064
2021-08-09,2021-08-10,43793.24565396788,46433.78513251518,42875.91536457145,46265.47427585355,74184672056.88889,842714141698.1423
2021-08-08,2021-08-09,44598.25,45262.10928386794,43332.65926046612,43780.238803238186,75737447466.66667,832151493680.0063
2021-08-07,2021-08-08,42775.45632742099,44665.77153480004,42690.12645090558,44665.77153480004,74440143148.75525,817328586551.6235
2021-08-06,2021-08-07,40863.395308199055,42997.39,39960.03693014494,42792.78790278553,70411983530.66667,776250570813.4419
2021-08-05,2021-08-06,39740.02633556848,41286.96,37462.49609672439,40849.95098301631,59042920661.333336,740145761053.042
2021-08-04,2021-08-05,38200.89,39940.046053650265,37616.06,39772.47169848371,55749176732.44444,726853585219.335
2021-08-03,2021-08-04,39178.21564058625,39651.208089723885,37817.15,38255.05,58660971022.22222,722087350783.2268
2021-08-02,2021-08-03,39918.956774115344,40368.21,38759.76,39153.01029453657,66317530652.44444,743370673763.2362
2021-08-01,2021-08-02,41582.55975573064,42475.97428551915,39657.24642908222,40120.70071620807,58507194382.22222,778532262681.4545
2021-07-31,2021-08-01,42278.66,42278.66,41142.88,41700.996741679664,73216348003.55556,781288809337.9387
2021-07-30,2021-07-31,39990.47,42094.78,38371.28193158816,42094.78,58156415288.888885,743518127668.9724
2021-07-29,2021-07-30,40016.36,40542.05,39339.65928172077,39993.53,71065073251.55556,747876722584.4337
2021-07-28,2021-07-29,39454.99,40816.35,38937.84,39999.97,86298185116.44444,747991262254.2721
2021-07-27,2021-07-28,37292.76,39204.3,36462.03,39184.61,88056814919.11111,706886857254.6987
2021-07-26,2021-07-27,35340.07,40497.987881956826,35321.9,37211.42,84057801560.30663,718521334086.5028
2021-07-25,2021-07-26,34245.83566585404,35244.4,33899.69546825606,35227.35,40433578091.03833,644752032173.7955
2021-07-24,2021-07-25,33577.412875668226,34484.24,33432.42030910474,34211.77,48296097848.888885,635148001917.1866
2021-07-23,2021-07-24,32293.94,33506.09381526193,32075.86308172612,33506.09381526193,43696585344,609309809498.1527
2021-07-22,2021-07-23,32129.59,32489.11,31734.31,32338.55,54591578894.22222,602767264602.4695
2021-07-21,2021-07-22,29801.49,32766.056556760603,29541.54,32142.94,50268395206.020905,585072482636.4813
2021-07-20,2021-07-21,30813.64,30944.29,29354.71,29759.93,47087937607.111115,559670772835.0381
2021-07-19,2021-07-20,31771.72,31882.70299300493,30553.73,30851.95,36608378154.666664,584947899229.4613
2021-07-18,2021-07-19,31513,32372.27,31309.97,31813,35431331811.55556,595821087426.8726
2021-07-17,2021-07-18,31382.29,31887.17,31207.82,31570.17,39981969159.111115,591794208880.108
2021-07-16,2021-07-17,31750.78,32181.79523298679,31110.21246522186,31385.55,54022773717.333336,595476652907.6882
2021-07-15,2021-07-16,32824.58580697245,33141.4,31206.51,31641.44704569291,55759464576,602118163097.9523
2021-07-14,2021-07-15,32716.294205447684,33046.03,31717.78,32776.13963032397,47348114517.333336,609145086950.1443
2021-07-13,2021-07-14,33149.98568281925,33285.78218348404,32272.67,32567.5725146342,54416065045.333336,616022524218.3737
2021-07-12,2021-07-13,34224.74265607296,34561.15,32707.30430790753,33219.35200045253,59765045361.77778,631940462199.149
2021-07-11,2021-07-12,33511.516538868185,34534.33,33324.92,34249.77403858005,55801800860.98955,633661622140.1879
2021-07-10,2021-07-11,33813.49466999722,34215.51588030548,33139.69,33548.81732712989,66022713756.44444,631995994564.4569
2021-07-09,2021-07-10,32896.810313652815,34037.427728945564,32321.36,33866.19638187796,76918683136,621900214874.874
2021-07-08,2021-07-09,33868.6928871052,33868.6928871052,32094.25,32837.96027303372,66246736881.77778,616771714032.4019
2021-07-07,2021-07-08,34220.71216933979,34955.62,33861.407403545745,33867.4651242288,57955368704,647785958079.9614
2021-07-06,2021-07-07,33691.165289937635,35046.03,33648.66117575969,34106.80638064917,61017993116.44444,640276009207.8153
2021-07-05,2021-07-06,35308.197876200415,35308.197876200415,33125.6,33866.5447497376,50617003704.888885,639199767237.0688
2021-07-04,2021-07-05,34674.43978745392,35920.38,34400.028673034234,35312.38754419704,38805155754.666664,661282250051.1537
2021-07-03,2021-07-04,33803.88375786083,34884.82,33402.3,34698.303128850115,40253461668.6993,642886925899.2306
2021-07-02,2021-07-03,33504.93,33861.64,32781.64959335166,33846.0070871488,53898509084.44444,623898253988.0905
2021-07-01,2021-07-02,35019.704840893464,35019.704840893464,32869.753475597005,33628.67,55957183184.72474,632116199377.6344
2021-06-30,2021-07-01,35857.88199958372,36081.62982893417,34140.02,35060.428966375206,57470426222.60627,654591266167.6809
2021-06-29,2021-06-30,34472.11,36469.99821320573,34266.76,35840.386468477736,58783976277.333336,666182520524.9314
2021-06-28,2021-06-29,34622,35103.5689027737,33989.95,34439.12,56438771250.478874,646021908096.8179
2021-06-27,2021-06-28,32274.97,34579.03,32102.58,34579.03,60510865624.33803,619229331443.3882
2021-06-26,2021-06-27,31664.78879176883,32618.305142274185,30193.54341627195,31858.58,68428884822.56115,589940076929.734
2021-06-25,2021-06-26,34662.83097443469,35441.65067422763,31355.44,31708.50892795173,60748465087.552444,625649652814.0149
2021-06-24,2021-06-25,33612.34,35176.73449996341,32324.01,34580.351177004355,60517323379.73946,631375005549.927
2021-06-23,2021-06-24,32470.84,34720.77,31769.26,33646.15,96666188116.12721,632330156621.0592
2021-06-22,2021-06-23,31694.01,33282.26977572051,28899.97,32366.97,97091051263.10802,599557521030.0839
2021-06-21,2021-06-22,35677.32936814285,35677.32936814285,31297.75,31606.39,78609740781.77936,621632197016.7451
2021-06-20,2021-06-21,35548.68,35906.57,33457.077021727666,35648.517163470904,55193357752.888885,657157712382.2627
2021-06-19,2021-06-20,35727.16,36292.91,34857.74,35635.38,62826737678.22222,669780574179.8792
2021-06-18,2021-06-19,38026.05,38128.36,35220.87737784982,35577.47,61575865500.44444,693100773044.2577
2021-06-17,2021-06-18,38340.491312015176,39522.52,37537.71,38082.08,69040871645.21254,723367484384.6147
2021-06-16,2021-06-17,40160.01,40438.51172521411,38188.00621438215,38290.04331721751,64077215237.35191,738603361115.7217
2021-06-15,2021-06-16,40527.71,41267.29017451398,39656.74024513181,40204.51,72036187548.44444,753254894034.2947
2021-06-14,2021-06-15,39106.54,40920.03,38785.32,40499.97,76608277489.77777,742966801820.6522
2021-06-13,2021-06-14,35506.77,39356.80281939799,34842.27,38990,57312107534.22222,681338537450.4958
2021-06-12,2021-06-13,37328.2,37328.2,34749.956995269495,35538.3,63889684892.44444,668970872519.4016
2021-06-11,2021-06-12,36646.86,37565.99,36061.67,37200.35,65346487153.77778,692821940181.2349
2021-06-10,2021-06-11,37343.28596074506,38252.79,35840.02,36870.06,79255034405.46341,692715176885.7372
2021-06-09,2021-06-10,33403.62668135009,37505.98586550245,32431.61,37345.044921562585,72582508401.77777,652523327949.7869
2021-06-08,2021-06-09,33566.18,33999.95541476688,31221.09,33369.1380606844,67316790680.16783,615422095652.6302
2021-06-07,2021-06-08,35827.5,36782.91,33550.00408032163,33550.00408032163,51875832504.888885,671980076063.1576
2021-06-06,2021-06-07,35512.37,36395.119909170506,35300.45,35781.01,54522810549.372696,673081231184.9684
2021-06-05,2021-06-06,36847.86,37883.494507432944,34920.83,35510.26,60989365546.666664,685053016475.5913
2021-06-04,2021-06-05,39192.46,39192.46,35779.58,36908.14,67365715555.55556,694379238360.5186
2021-06-03,2021-06-04,37573.72,39429.13,37258.55,39152.71,58852534940.44444,721335768939.0715
2021-06-02,2021-06-03,36679.41,38208.60716929174,36035.88,37622.43,65099865344,697910974156.7079
2021-06-01,2021-06-02,37271.48845183348,37790.2364314989,35743.88922233156,36606.39,67803254598.466896,684853201608.0616
2021-05-31,2021-06-01,35634.7,37491.61,34214.44834756519,37303.750088697365,84345634530.56445,676387670384.3842
2021-05-30,2021-05-31,34575.84,36310.19,33528.7,35618.15758307902,74745448304.78322,663876381066.3003
2021-05-29,2021-05-30,35664.87,37151.65761007564,33662.245364841816,34523.41,78991545500.44444,659570931291.0194
2021-05-28,2021-05-29,38453.42612735857,38760.06115752112,34780.97,35670.7,70858555177.92334,684848737522.1329
2021-05-27,2021-05-28,39228.17715442078,40249.96678411985,37208.09,38479.69228455568,71587942584.88889,725542174810.8517
2021-05-26,2021-05-27,38318.94119977362,40709.5948084184,37953.434317840096,39184.76165413112,75075011441.77777,733964555265.7438
2021-05-25,2021-05-26,38695.568599084174,39718.89322175043,36544.91425422477,38165.78817561584,87992997205.33333,711605190043.6975
2021-05-24,2021-05-25,34794.268327071324,39670.04,34500.65772778616,38619.39710028808,108924114127.66434,691331455616.9635
2021-05-23,2021-05-24,37499.78,38198.16,31282.72036952493,34834.68224245205,86352787200,655319326893.7573
2021-05-22,2021-05-23,37222.41634232098,38706.64,35460.72261760194,37555,113989186247.11111,701047511242.1075
2021-05-21,2021-05-22,40480.23,42023.62,33610.37,37242.94270458837,111544715889.77777,730875968423.0165
2021-05-20,2021-05-21,36860.232114838,42326.97,35183.744181639,40389.77810720434,189296826007.0065,744282948119.5409
2021-05-19,2021-05-20,42853.964570925,43499.889793297,31500.003377076,36974.614735375,145277986785.24896,730792972233.5671
2021-05-18,2021-05-19,43532.313050801,45697.75,42370.444854229,43019.774295314,97378342014.94269,826103820088.321
2021-05-17,2021-05-18,46408.69,46408.69,42289.753922845,43590.922172391,113942304201.84549,828487211711.7584
2021-05-16,2021-05-17,46770.57,49696.092539697,44041.162085149,46395.05,86152547557.68709,892441182837.7075
2021-05-15,2021-05-16,49862.094791457,50567.657601214,46774.63,46786.61,80418871902.0039,913495927383.2941
2021-05-14,2021-05-15,49702.013319476,51384.653805317,48900.166788605,49884.92,104643650677.32683,937878585892.2268
2021-05-13,2021-05-14,49776.068016473,51298.13,47215.481324138,49655.621033883,147012793468.8513,931899652928.1764
2021-05-12,2021-05-13,56677.851352432,57885.799310842,50482.434481737,50482.434481737,91534666588.09143,1045391438304.2491
2021-05-11,2021-05-12,55805.029620234,56828.855427671,54549.925400354,56721.833840935,109665832582.4177,1044004192054.6909
2021-05-10,2021-05-11,58215.443921265,59447.870498163,54598.965948744,55772.281248757,97599777790.61288,1079307825850.6245
2021-05-09,2021-05-10,58770.012956157,59112.958931223,56327.674648063,58169.727616902,102692816568.36444,1083790449997.3892
2021-05-08,2021-05-09,57336.81,59430.905838741,57008.19,58711.172030754,96516445928.84605,1093435833061.5577
2021-05-07,2021-05-08,56387.69,58550.191536919,55406.838866197,57339.55,96543881308.77055,1061921862761.8705
2021-05-06,2021-05-07,57424.97,58305.62093566,55400.036935351,56484.49,97608603995.23253,1064446944567.3044
2021-05-05,2021-05-06,53233.729539004,57850.88587032,53233.729539004,57338.36,104577993093.7576,1044403338260.6987
2021-05-04,2021-05-05,57160.54134024,57160.54134024,53300.384692082,53329.387643742,104329510588.68814,1033465775783.5198
2021-05-03,2021-05-04,56566.43,58895.89,56552.03,57211.408640625,79856745597.95123,1082878568187.483
2021-05-02,2021-05-03,57794.46273326,57853.379957039,56149.038294697,56563.76,70170320535.81009,1062364792634.545
2021-05-01,2021-05-02,57710.513314636,58433.61184289,57105.143681495,57793.518868245,84085140057.66035,1079591278280.623
2021-04-30,2021-05-01,53548.82,57814.945103923,53099.4,57758.646931212,81510348962.76573,1032701217461.4552
2021-04-29,2021-04-30,54808.957932854,55158.002206348,52390.855946766,53610.429064522,78228039365.63628,1006900370692.3307
2021-04-28,2021-04-29,55007.123595303,56159.305244012,53877.6504657,54766.539300399,79980719164.69644,1023297672247.4186
2021-04-27,2021-04-28,53993.067739073,55392.545776256,53305.02,54924.014700428,88040474935.70862,1019353281891.478
2021-04-26,2021-04-27,49045.573224645,54229.301378494,48817.993817532,53954.40656687,97639482840.27106,988564795880.4296
2021-04-25,2021-04-26,50069.186874544,50471.37,47199.806670593,48987.681638512,73945549997.83684,927035095761.8909
2021-04-24,2021-04-25,51084.098508532,51084.098508532,48769.318568821,50007.715949987,118673612341.04921,934950269595.5847
2021-04-23,2021-04-24,51740.14985221,52049.554245881,47731.2,51020.041151817,172670297787.2005,931686556046.2334
2021-04-22,2021-04-23,53868.59,55331.427986936,50591.899618194,51843.679797905,127377801203.73653,1005208001116.4878
2021-04-21,2021-04-22,56453.86,56715.885279141,53714.77,53889.33,114642171908.68785,1035703581381.6178
2021-04-20,2021-04-21,55653.851876131,56983.76,53488.26,56363.62,122923034039.2283,1036449270399.1387
2021-04-19,2021-04-20,56183.520461118,57424.305365971,54333.899600625,55653.244867317,139509205538.41348,1052425348213.242
2021-04-18,2021-04-19,60028.39,60274.64,52569.439888707,56037.128717561,185812398998.34134,1045652144527.6986
2021-04-17,2021-04-18,61342.968880339,62420.539256881,59767.22,60078.27,159749829773.17035,1144740077837.9856
2021-04-16,2021-04-17,63207.09,63493.56,60153.645486345,61504.768623643,165610153604.99374,1152385884372.2844
2021-04-15,2021-04-16,62999.982633146,63628.83,62090.5,63183.14,169238154522.35883,1174837897129.074
2021-04-14,2021-04-15,63545.12,64816.101873759,61529.32,62628.975942463,173884088327.92194,1184937003554.743
2021-04-13,2021-04-14,59868.27,63720.71,59868.27,63528.48,158430038672.48877,1161411096747.8167
2021-04-12,2021-04-13,60007.793017067,61095.008730683,59586.154028218,59940.53,100979406140.75008,1123013039967.3757
2021-04-11,2021-04-12,59716.553420893,60590.055143333,59246.503904371,60018.28649422,97875436776.96034,1117365110731.6228
2021-04-10,2021-04-11,58135.35,61210.69,57951.923907836,59747.436800736,103026133874.74176,1118708770341.1785
2021-04-09,2021-04-10,58077.06,58841.41,57722.220559993,58159.44,77270327841.63026,1087296640269.7361
2021-04-08,2021-04-09,55872.863775655,58087.980725351,55819.741035944,58019.88,104686589216.23338,1067929892061.7366
2021-04-07,2021-04-08,57979.296824399,58627.112892427,55558.496987732,56073.471560786,109029801399.0376,1064137361929.3365
2021-04-06,2021-04-07,59096.001689842,59398.742893012,57599.943563651,58093.238332403,104554598225.67928,1091770394390.8817
2021-04-05,2021-04-06,58197.978729273,59134.63,56844.948892987,58777.739363776,97931171132.71126,1084528725630.7042
2021-04-04,2021-04-05,57092.446157657,58412.534020509,56589.619340368,58215.19,104713372859.30452,1077506387550.9282
2021-04-03,2021-04-04,58975.833538924,59690.998041732,57022.931472565,57139.137960369,91212846892.23167,1100367640719.8984
2021-04-02,2021-04-03,58727.648378485,60063.776357555,58529.498116334,58963.327596364,105128774133.54964,1106625591884.8916
2021-04-01,2021-04-02,58751.790587493,59319.270690471,58147.844868494,58755.615177915,115654009708.86974,1099175922465.8892
2021-03-31,2021-04-01,58763.827956315,59777.71,57447.36,58719.454369704,102853343111.27643,1095749772784.0089
2021-03-30,2021-03-31,57612.522985506,59311.038575993,57140.7,58693.948561784,98089413349.6299,1089305782131.2916
2021-03-29,2021-03-30,55748.632014917,58339.973951146,54994.35,57664.850966586,91499980031.03542,1062399656260.8448
2021-03-28,2021-03-29,55841.634784662,56489.17,54850.21,55861.95,82011404713.58173,1042070133008.1964
2021-03-27,2021-03-28,55008.056535533,56456.803917721,54033.568678451,55917.880112079,88506866566.9326,1029633507508.1704
2021-03-26,2021-03-27,51355.704557906,55002.769793935,51355.704557906,55002.769793935,108542946098.89214,992845345259.7603
2021-03-25,2021-03-26,52382.797866628,53139.130244138,50572.98432636,51412.192011042,131460234153.92424,972876679744.1349
2021-03-24,2021-03-25,54464.941296883,57028.63,52075.590680334,52584.785401622,99933043546.1793,1029272089119.4928
2021-03-23,2021-03-24,54185.29357863,55799.02,53213.99894907,54599.961810643,109449851792.81044,1020684367089.926
2021-03-22,2021-03-23,57384.45757667,58200.01,53833.723780522,54249.990775698,92548643674.98073,1059665036029.6736
2021-03-21,2021-03-22,58057.69,58549.97,55928.752149681,57392.205695478,95572143441.6789,1068857787372.2863
2021-03-20,2021-03-21,58098.078393289,59869.85,58016.579631578,58219.82,87958442364.3281,1096422104535.9305
2021-03-19,2021-03-20,57666.273208078,59448.831135223,56348.064844074,58091.623667025,101631795534.46152,1087318165332.2467
2021-03-18,2021-03-19,58891.031996406,60024.601875333,57287.611931323,57687.520560171,113184110344.01257,1090993900551.0859
2021-03-17,2021-03-18,56857.306066143,58863.677485496,54376.494725263,58711.978740212,103479709533.54459,1047096715188.0651
2021-03-16,2021-03-17,55571.193837491,56788.88400522,53393.033648816,56455.998436302,129824122177.71213,1032475724522.9333
2021-03-15,2021-03-16,59150.403028178,60550.874707961,55338.280935723,55723.949158947,127943028372.57341,1072861279123.0306
2021-03-14,2021-03-15,61219.3484261,61617.996614711,59380.018943745,59380.018943745,122350418659.22339,1127962802204.3772
2021-03-13,2021-03-14,57250.137875209,61662.205960194,56089.273978716,61297.997385093,133874862330.59613,1096783082569.1348
2021-03-12,2021-03-13,57716.881672776,58031.000810363,55195.349719158,57278.155019056,132357056562.19308,1059963767316.9438
2021-03-11,2021-03-12,55865.299828819,58131.335829341,54483.025390398,57633.699811129,138622973047.75595,1049412610454.1602
2021-03-10,2021-03-11,54854.79160754,57286.432450221,53174.377203494,55998.739272912,120454358101.13034,1032239421687.4233
2021-03-09,2021-03-10,52265.016204683,54839.979170391,51976.019157041,54759.461685978,117158259798.89163,1006047046299.8694
2021-03-08,2021-03-09,50934.444601724,52326.862441311,49375.174275611,52326.862441311,101647849696.18727,946662347610.6323
2021-03-07,2021-03-08,48872.693979548,51409.226747725,48872.693979548,51409.226747725,86479140578.54686,935917409235.7894
2021-03-06,2021-03-07,48819.984558032,49081.953510424,47155.957542722,48884.800434591,97560333723.04031,901644582923.7635
2021-03-05,2021-03-06,48450.016215223,49389.980902438,46414.588639148,48901.915683951,117859323450.23126,889473556807.4288
2021-03-04,2021-03-05,50451.119242724,51738.864851054,47633.154237724,48523.779583539,119186130857.47658,920924781727.3862
2021-03-03,2021-03-04,48466.456336849,52513.115293311,48144.564786964,50593.579779577,108365200914.1684,939512750119.2106
2021-03-02,2021-03-03,49589.983816828,50179.372781384,47150.26015529,48245.59608153,111601588572.5958,905796140014.7062
2021-03-01,2021-03-02,45109.070026715,49752.650170761,45015.584230531,49557.936855621,112766464735.36377,886579969867.6401
2021-02-28,2021-03-01,46132.387057359,46540.991962894,43164.542809999,44986.744834586,94856286509.80986,834743254119.4801
2021-02-27,2021-02-28,46266.026627925,48346.552952293,45136.062526661,46202.313746958,119956885361.70639,878310825155.0222
2021-02-26,2021-02-27,46986.597533968,48380.671216384,44499.997793876,46205.257719958,136768565573.61697,868707953809.0167
2021-02-25,2021-02-26,49668.13321001,51791.921327804,47264.216595606,47372.377990661,124602948614.84659,931552716323.3297
2021-02-24,2021-02-25,48889.930494258,51223.540344033,47169.071104729,49577.667053636,174558097499.38934,927168184009.3646
2021-02-23,2021-02-24,54099.980661749,54099.980661749,45256.179829757,48514.382154476,212151513117.87042,913257487103.7423
2021-02-22,2021-02-23,57411.011820817,57411.011820817,49410.201627632,54153.655191753,149261235644.12186,1019306544378.4252
2021-02-21,2021-02-22,55969.530622648,58301.831486473,55560.541830753,57367.946141722,139771860152.9566,1062173524746.6239
2021-02-20,2021-02-21,55841.110508027,57530.021690749,54753.834239833,56008.787435495,140453622250.90015,1047912759137.8967
2021-02-19,2021-02-20,51564.717399117,56229.120609577,50856.485178347,55795.155052979,113055134900.88725,989022402978.7489
2021-02-18,2021-02-19,52091.9258349,52493.726678308,50920.666933165,51656.846873218,120111456625.69244,966867951236.198
2021-02-17,2021-02-18,49128.607890832,52514.956601818,49088.69796565,52127.620932861,142714894908.7139,948273280355.4424
2021-02-16,2021-02-17,47927.987260302,50344.017500916,47187.624536482,49261.050774171,128596282134.78947,909963253204.201
2021-02-15,2021-02-16,48643.603406616,48884.837314601,46167.980204254,47981.977492583,121933582464.31573,890979166011.1172
2021-02-14,2021-02-15,47123.820707547,49566.060732911,47123.820707547,48673.329709376,144739442865.15906,904294295184.9419
2021-02-13,2021-02-14,47299.703224291,48089.521489205,46402.367688975,47056.769564544,143039618394.03668,879475823410.589
2021-02-12,2021-02-13,47991.937162717,48654.384425336,46459.805609765,47622.56892074,137346856098.88525,885659635122.4756
2021-02-11,2021-02-12,44809.542155379,48523.099663924,44049.822985271,47680.424437754,125776147417.46045,860969534626.3812
2021-02-10,2021-02-11,46504.799902823,47281.526416141,43864.280561659,44866.502278149,129490884290.81744,852080990171.5688
2021-02-09,2021-02-10,46533.336937715,47893.551624022,45164.667993773,46511.520580186,183198175979.178,868140615964.038
2021-02-08,2021-02-09,38857.116947072,46225.496408246,38044.110471874,46225.496408246,118889434701.5687,766279221913.979
2021-02-07,2021-02-08,39260.740661719,39654.670372592,37389.634955593,38888.638236331,102991144866.25604,720053161966.9513
